description,keywords,name,no_of_reviews,price,published_date,ratings,url,max_no_weeks_on_list,price_numeric,ratings_numeric,class_text,polarity_score
"The New York lawyer Stone Barrington and his latest girlfriend are pursued by her ex-husband, who has connections to the Russian mob.","['woods', 'stuart', 'sex', 'predictable', 'women', 'novels', 'woman', 'threesome', 'sexual', 'usual', 'pages', 'entertaining', 'teddy', 'enjoyable', 'rich', 'previous', 'mystery', 'worst', 'typical', 'boring']",DISHONORABLE INTENTIONS,839,"['Hardcover', '$11.45', '98', 'Used', 'from', '$1.02', '29', 'New', 'from', '$3.20', '3', 'Collectible', 'from', '$5.50', 'Paperback', '$8.99', '163', 'Used', 'from', '$0.25', '64', 'New', 'from', '$3.41', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-06-26,3.8 out of 5 s,http://www.amazon.com/Dishonorable-Intentions-Stone-Barrington-Novel/dp/0399573917?tag=NYTBS-20,1,11.45,3.8,pos,0.2121212121
"A middle-aged optometrist, twice divorced and tired of her work, decides to reinvent her life.","['terry', 'mcmillan', 'georgia', 'woman', 'age', 'women', 'main', 'relate', 'journey', 'young', 'funny', 'men', 'slow', 'ending', 'relatable', 'relationships', 'entertaining', 'finish', 'lives', 'optometrist']",I ALMOST FORGOT ABOUT YOU,1045,"['Hardcover', '$16.18', '106', 'Used', 'from', '$1.04', '16', 'New', 'from', '$6.98', '3', 'Collectible', 'from', '$10.99', 'Paperback', '$7.99', '60', 'Used', 'from', '$3.00', '50', 'New', 'from', '$5.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-03,4.3 out of 5,http://www.amazon.com/Almost-Forgot-About-You-Novel/dp/1101902574?tag=NYTBS-20,1,16.18,4.3,neg,-0.4
This Ghanaian-American writer’s first novel traces the lives in West Africa and America of seven generations of the descendants of two half sisters.,"['slavery', 'generations', 'african', 'slave', 'gyasi', 'africa', 'trade', 'chapter', 'america', 'lives', 'ghana', 'yaa', 'american', 'generation', 'beautifully', 'families', 'historical', 'descendants', 'sisters', 'powerful']",HOMEGOING,1759,"['Hardcover', '$14.69', '158', 'Used', 'from', '$3.95', '70', 'New', 'from', '$8.21', '13', 'Collectible', 'from', '$12.95', 'Paperback', '$12.65', '93', 'Used', 'from', '$4.47', '91', 'New', 'from', '$6.66', '2', 'Collectible', 'from', '$9.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.5 out of 5,http://www.amazon.com/Homegoing-novel-Yaa-Gyasi/dp/1101947136?tag=NYTBS-20,1,14.69,4.5,pos,0.0416666667
The counterterrorism operative Scot Harvath searches for an informant who compromised an American mission in Syria.,"['thor', 'brad', 'action', 'scott', 'current', 'isis', 'page', 'novels', 'today', 'exciting', 'paced', 'timely', 'headlines', 'usual', 'events', 'ending', 'adventure', 'president', 'political', 'fiction']",FOREIGN AGENT,1927,"['Hardcover', '$37.99', '14', 'Used', 'from', '$6.12', '6', 'New', 'from', '$25.00', '1', 'Collectible', 'from', '$32.00', 'Paperback', 'from', '$7.95', '14', 'Used', 'from', '$7.95', '11', 'New', 'from', '$15.69', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-03,4.6 out of 5,http://www.amazon.com/Foreign-Agent-Thriller-Scot-Harvath-ebook/dp/B0176M3X5S?tag=NYTBS-20,5,37.99,4.6,,0
"In the summer of 1969, a California teenager is drawn to a Manson-like cult.","['manson', 'evie', 'girl', 'cline', 'cult', 'young', 'murders', 'emma', 'suzanne', 'group', 'summer', 'main', 'charles', 'russell', 'age', 'hype', 'based', 'teenage', 'woman', 'ranch']",THE GIRLS,1817,"['Hardcover', '$16.62', '265', 'Used', 'from', '$0.10', '59', 'New', 'from', '$7.79', '18', 'Collectible', 'from', '$5.99', 'Paperback', '$9.92', '128', 'Used', 'from', '$1.99', '89', 'New', 'from', '$5.03', '1', 'Collectible', 'from', '$9.90', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-03,3.4 out of 5,http://www.amazon.com/Girls-Novel-Emma-Cline-ebook/dp/B015LYZH20?tag=NYTBS-20,11,16.62,3.4,,0
A secretive German organization is trying to kill Tom Clancy’s character Jack Ryan Jr. (Clancy died in 2013.),"['blackwood', 'campus', 'action', 'grant', 'novels', 'name', 'boring', 'greaney', 'mark', 'waste', 'disappointing', 'worst', 'development', 'slow', 'previous', 'exciting', 'poor', 'page', 'miss', 'paced']",TOM CLANCY: DUTY AND HONOR,1048,"['Hardcover',  '$1.14', '93', 'Used', 'from', '$1.14', '44', 'New', 'from', '$7.30', '15', 'Collectible', 'from', '$6.00', 'Paperback', '$8.99', '209', 'Used', 'from', '$1.02', '61', 'New', 'from', '$3.93', '2', 'Collectible', 'from', '$3.89', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-03,3.5 out of 5,http://www.amazon.com/Clancy-Duty-Honor-Jack-Novel/dp/0399176802?tag=NYTBS-20,4,1.14,3.5,,0
Sparks fly as a celebrity chef’s ex-wives pile into a small cabin in Nantucket to join his widow for the reading of his will.,"['elin', 'summer', 'nantucket', 'hilderbrand', 'beach', 'deacon', 'wives', 'hildebrand', 'chef', 'recipes', 'women', 'page', 'thorpe', 'island', 'novels', 'enjoyable', 'ending', 'lives', 'kept', 'relationships']",HERE'S TO US,899,"['Hardcover', '$16.41', '147', 'Used', 'from', '$1.01', '28', 'New', 'from', '$4.66', '9', 'Collectible', 'from', '$7.85', 'Paperback', '$9.34', '178', 'Used', 'from', '$0.25', '58', 'New', 'from', '$5.35', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-03,4.2 out of 5 s,http://www.amazon.com/Heres-Us-Elin-Hilderbrand-ebook/dp/B0169ATKUK?tag=NYTBS-20,6,16.41,4.2,pos,0.275
The Pulitzer Prize-winning novelist traces the destruction of the world’s forests over 300 years as it follows the descendants of two families.,"['proulx', 'annie', 'forests', 'trees', 'native', 'america', 'north', 'historical', 'pages', 'forest', 'american', 'canada', 'generations', 'families', 'industry', 'destruction', 'writer', 'epic', 'research', 'news']",BARKSKINS,859,"['Hardcover', '$20.69', '159', 'Used', 'from', '$3.00', '63', 'New', 'from', '$11.26', '22', 'Collectible', 'from', '$18.95', 'Paperback', '$13.59', '62', 'Used', 'from', '$3.47', '35', 'New', 'from', '$9.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$14.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-03,3.8 out of 5 s,http://www.amazon.com/Barkskins-Novel-Annie-Proulx/dp/0743288785?tag=NYTBS-20,2,20.69,3.8,,0
"The F.B.I. agent Kate O’Hare and her con man partner, Nick Fox, face off against a dangerous ex-Serbian military officer.","['evanovich', 'janet', 'kate', 'nick', 'action', 'goldberg', 'novels', 'adventure', 'con', 'entertaining', 'plum', 'romance', 'funny', 'humor', 'previous', 'lee', 'authors', 'exciting', 'enjoyable', 'jake']",THE PURSUIT,760,"['Hardcover', '$9.11', '118', 'Used', 'from', '$2.26', '29', 'New', 'from', '$7.39', '8', 'Collectible', 'from', '$8.00', 'Paperback', '$25.20', '62', 'Used', 'from', '$5.49', '41', 'New', 'from', '$17.64', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-17,4.5 out of 5 s,http://www.amazon.com/Pursuit-Fox-OHare-Novel-ebook/dp/B017G7IVSW?tag=NYTBS-20,2,9.11,4.5,neg,-0.35
"A retelling of “The Taming of the Shrew,” set in modern-day Baltimore.","['tyler', 'anne', 'shrew', 'taming', 'kate', 'father', 'pyotr', 'sister', 'modern', 'assistant', 'retelling', 'bunny', 'marry', 'funny', 'scientist', 'quirky', 'battista', 'enjoyable', 'research', 'lab']",VINEGAR GIRL,637,"['Hardcover', '$12.36', '98', 'Used', 'from', '$1.01', '34', 'New', 'from', '$7.47', '12', 'Collectible', 'from', '$9.95', 'Paperback', '$12.00', '74', 'Used', 'from', '$2.03', '59', 'New', 'from', '$7.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-17,3.8 out of 5 s,http://www.amazon.com/Vinegar-Girl-Novel-Hogarth-Shakespeare/dp/0804141266?tag=NYTBS-20,1,12.36,3.8,,0
"Two sisters — one a successful lawyer with a small child and an unhappy marriage, the other a single teacher who yearns to be a mother — struggle toward forgiveness after 15 years of estrangement.","['emily', 'giffin', 'sisters', 'josie', 'meredith', 'sister', 'death', 'lives', 'relationship', 'brother', 'relationships', 'ending', 'tragedy', 'summer', 'novels', 'honest', 'borrowed', 'married', 'women', 'marriage']",FIRST COMES LOVE,1050,"['Hardcover', '$7.61', '209', 'Used', 'from', '$1.01', '74', 'New', 'from', '$7.50', '8', 'Collectible', 'from', '$4.00', 'Paperback', '$10.35', '136', 'Used', 'from', '$1.96', '66', 'New', 'from', '$4.64', '2', 'Collectible', 'from', '$15.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.0 out of 5,http://www.amazon.com/First-Comes-Love-Emily-Giffin-ebook/dp/B014NZ4SXW?tag=NYTBS-20,6,7.61,4,neg,-0.0592857143
"Hired by Olympic organizers to protect the Rio games, Jack Morgan of Private, an international security and consulting firm, encounters dangerous threats.","['patterson', 'rio', 'olympics', 'james', 'jack', 'olympic', 'kept', 'twists', 'action', 'exciting', 'suspense', 'page', 'timely', 'predictable', 'morgan', 'usual', 'turns', 'novels', 'edge', 'summer']",THE GAMES,978,"['Hardcover', '$12.31', '163', 'Used', 'from', '$1.04', '59', 'New', 'from', '$0.49', '12', 'Collectible', 'from', '$7.50', 'Paperback', '$9.27', '230', 'Used', 'from', '$0.25', '68', 'New', 'from', '$2.74', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.5 out of 5 s,http://www.amazon.com/Games-Private-James-Patterson/dp/0316407119?tag=NYTBS-20,5,12.31,4.5,neg,-0.2
World war is on the horizon,"['taylor', 'brad', 'action', 'jennifer', 'team', 'aaron', 'page', 'russia', 'shoshana', 'israeli', 'adventure', 'novels', 'development', 'exciting', 'coming', 'installment', 'taskforce', 'kept', 'twists', 'stop']",GHOSTS OF WAR,363,"['Hardcover', '$15.68', '83', 'Used', 'from', '$1.00', '21', 'New', 'from', '$8.23', '5', 'Collectible', 'from', '$15.95', 'Paperback', '$7.99', '109', 'Used', 'from', '$1.38', '58', 'New', 'from', '$2.15', '1', 'Collectible', 'from', '$27.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-17,4.6 out of 5 s,http://www.amazon.com/Ghosts-War-Pike-Logan-Thriller/dp/0525954929?tag=NYTBS-20,0,15.68,4.6,,0
A year in the intertwined lives of three international couples who participate in a special dinner in Paris.,"['danielle', 'steel', 'steele', 'magical', 'dinner', 'couples', 'paris', 'lives', 'kept', 'novels', 'enjoyable', 'predictable', 'page', 'happen', 'boring', 'truly', 'ending', 'romantic', 'typical', 'usual']",MAGIC,975,"['Hardcover', '$13.80', '152', 'Used', 'from', '$1.01', '32', 'New', 'from', '$9.82', '6', 'Collectible', 'from', '$6.13', 'Paperback', '$19.72', '74', 'Used', 'from', '$5.90', '47', 'New', 'from', '$13.38', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.5 out of 5 s,http://www.amazon.com/Magic-Novel-Danielle-Steel-ebook/dp/B017G7JXRK?tag=NYTBS-20,1,13.8,4.5,pos,0.1785714286
"Two families, one aristocratic and one wealthy, in Victorian London, from the creator of “Downton Abbey.”","['downton', 'abbey', 'predictable', 'period', 'enjoyable', 'historical', 'class', 'twists', 'century', 'society', 'waterloo', 'british', 'london', 'lives', 'england', 'social', 'fellows', 'victorian', 'english', 'families']",BELGRAVIA,595,"['Hardcover', '$14.95', '136', 'Used', 'from', '$1.26', '78', 'New', 'from', '$7.03', '8', 'Collectible', 'from', '$7.00', 'Paperback', '$10.87', '82', 'Used', 'from', '$2.96', '54', 'New', 'from', '$9.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.1 out of 5 s,http://www.amazon.com/Julian-Fellowess-Belgravia-Fellowes/dp/1455541168?tag=NYTBS-20,3,14.95,4.1,pos,0.5
 what would present-day America look like if the Civil War never happened?,"['slavery', 'war', 'civil', 'alternate', 'winters', 'states', 'alternative', 'premise', 'america', 'slave', 'happened', 'today', 'modern', 'ben', 'thriller', 'slaves', 'reality', 'twists', 'main', 'fiction']",UNDERGROUND AIRLINES,409,"['Hardcover', '$10.98', '114', 'Used', 'from', '$1.55', '13', 'New', 'from', '$3.07', '8', 'Collectible', 'from', '$13.34', 'Paperback', '$8.95', '93', 'Used', 'from', '$1.91', '60', 'New', 'from', '$3.62', '1', 'Collectible', 'from', '$10.15', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-24,4.0 out of 5 s,http://www.amazon.com/Underground-Airlines-Ben-Winters/dp/0316261246?tag=NYTBS-20,0,10.98,4,,0
"Gabriel Allon, the Israeli art restorer and spy, recruits and trains a doctor from Jerusalem to help capture a secret ISIS terrorist in France.","['silva', 'daniel', 'isis', 'current', 'fiction', 'events', 'today', 'spy', 'novels', 'page', 'thriller', 'middle', 'east', 'israel', 'action', 'timely', 'usual', 'terrorist', 'terrorism', 'political']",THE BLACK WIDOW,5692,"['Hardcover', '$5.92', '236', 'Used', 'from', '$1.26', '103', 'New', 'from', '$4.89', '18', 'Collectible', 'from', '$5.15', 'Paperback', '$10.87', '71', 'Used', 'from', '$2.69', '53', 'New', 'from', '$10.40', '2', 'Collectible', 'from', '$10.75', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.6 out of 5,http://www.amazon.com/Black-Widow-Gabriel-Allon-Book-ebook/dp/B016UE6KTO?tag=NYTBS-20,7,5.92,4.6,neg,-0.4
"The continuation of ""Star Wars: Aftermath"" and the second book of the Aftermath trilogy is set between ""Return of the Jedi"" and ""The Force Awakens."" A ""Star Wars"" novel.","['wendig', 'han', 'empire', 'chuck', 'universe', 'leia', 'canon', 'force', 'galaxy', 'solo', 'awakens', 'novels', 'jedi', 'interludes', 'main', 'action', 'chewie', 'republic', 'third', 'norra']",LIFE DEBT: AFTERMATH,521,"['Hardcover', '$23.70', '38', 'Used', 'from', '$3.32', '25', 'New', 'from', '$17.47', '3', 'Collectible', 'from', '$69.95', 'Paperback', '$8.99', '58', 'Used', 'from', '$1.50', '66', 'New', 'from', '$5.00', '1', 'Collectible', 'from', '$443.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-31,3.8 out of 5 s,http://www.amazon.com/Life-Debt-Aftermath-Star-Trilogy-ebook/dp/B015LZ04OK?tag=NYTBS-20,1,23.7,3.8,,0
Chief of Police Kate Burkholder goes undercover as a widow in a reclusive Amish community to investigate a girl's death.,"['amish', 'castillo', 'linda', 'undercover', 'community', 'chief', 'mystery', 'police', 'girl', 'york', 'suspense', 'tomasetti', 'mill', 'twists', 'death', 'young', 'twist', 'page', 'novels', 'bishop']",AMONG THE WICKED,470,"['Hardcover', '$16.84', '106', 'Used', 'from', '$3.00', '57', 'New', 'from', '$6.29', '3', 'Collectible', 'from', '$6.65', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App', 'Mass', 'Market', 'Paperback', '$7.19', '80', 'Used', '$2.29', '59', 'New', '$5.57']",2016-07-31,4.7 out of 5 s,http://www.amazon.com/Among-Wicked-Kate-Burkholder-Novel-ebook/dp/B019N4X1ZE?tag=NYTBS-20,1,16.84,4.7,,0
"a dishy tell-all about a beautiful tennis prodigy who, after changing coaches, suddenly makes headlines on and off the court.","['tennis', 'weisberger', 'lauren', 'charlie', 'professional', 'devil', 'predictable', 'prada', 'wears', 'player', 'entertaining', 'beach', 'main', 'circuit', 'summer', 'enjoyable', 'ending', 'slam', 'grand', 'behind']",THE SINGLES GAME,185,"['Hardcover', '$4.54', '131', 'Used', 'from', '$1.06', '30', 'New', 'from', '$4.44', '7', 'Collectible', 'from', '$7.22', 'Paperback', '$11.00', '81', 'Used', 'from', '$1.52', '49', 'New', 'from', '$4.10', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-07-31,3.8 out of 5 s,http://www.amazon.com/Singles-Game-Lauren-Weisberger/dp/1476778213?tag=NYTBS-20,0,4.54,3.8,pos,0.425
"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her.","['mystery', 'main', 'kept', 'ending', 'ware', 'twists', 'page', 'girl', 'suspense', 'ruth', 'cruise', 'train', 'suspenseful', 'thriller', 'slow', 'turns', 'ship', 'guessing', 'dark', 'protagonist']",THE WOMAN IN CABIN 10,4543,"['Hardcover', '$15.11', '341', 'Used', 'from', '$0.25', '97', 'New', 'from', '$5.00', '11', 'Collectible', 'from', '$3.99', 'Paperback', '$10.17', '328', 'Used', 'from', '$1.44', '123', 'New', 'from', '$4.24', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-01-15,3.8 out of 5,http://www.amazon.com/Woman-Cabin-10-Ruth-Ware-ebook/dp/B019DKO5BM?tag=NYTBS-20,63,15.11,3.8,neg,-0.0178571429
"Nick Heller, a Boston-based private intelligence operative, is called in when a slander site prepares to defame a Supreme Court justice.","['finder', 'heller', 'nick', 'joseph', 'justice', 'supreme', 'court', 'thriller', 'private', 'chief', 'twists', 'action', 'paced', 'suspense', 'turns', 'novels', 'believable', 'washington', 'hired', 'scandal']",GUILTY MINDS,263,"['Hardcover', '$6.98', '97', 'Used', 'from', '$2.11', '33', 'New', 'from', '$6.97', '8', 'Collectible', 'from', '$5.00', 'Paperback', '$8.99', '90', 'Used', 'from', '$1.27', '48', 'New', 'from', '$7.02', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.4 out of 5 s,http://www.amazon.com/Guilty-Minds-Joseph-Finder/dp/0525954627?tag=NYTBS-20,1,6.98,4.4,,0
"An Englishwoman turned New York banker moves to Westport, Conn., where she finds a new career as a decorator and a new love in the salt-of-the-earth bartender who lives next door.","['jane', 'green', 'emma', 'dominic', 'ending', 'landlord', 'jesse', 'relationship', 'westport', 'connecticut', 'twist', 'summer', 'romance', 'beach', 'boring', 'interior', 'woman', 'main', 'fall', 'finish']",FALLING,312,"['Hardcover', '$8.61', '82', 'Used', 'from', '$1.00', '24', 'New', 'from', '$4.63', '4', 'Collectible', 'from', '$8.85', 'Paperback', '$11.00', '94', 'Used', 'from', '$1.02', '53', 'New', 'from', '$9.59', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$10.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,3.6 out of 5 s,http://www.amazon.com/Falling-Jane-Green/dp/0399583289?tag=NYTBS-20,0,8.61,3.6,pos,0.1818181818
Relationships unravel as two couples vacation together in Sicily.,"['ephron', 'couples', 'vacation', 'italy', 'ending', 'child', 'snow', 'told', 'kept', 'delia', 'travel', 'sicily', 'michael', 'view', 'lizzie', 'taylor', 'trip', 'main', 'marriage', 'finn']",SIRACUSA,356,"['Hardcover', '$10.79', '113', 'Used', 'from', '$1.02', '37', 'New', 'from', '$1.39', '3', 'Collectible', 'from', '$10.00', 'Paperback', '$10.27', '137', 'Used', 'from', '$1.20', '63', 'New', 'from', '$3.02', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,3.5 out of 5 s,http://www.amazon.com/Siracusa-Delia-Ephron/dp/0399165215?tag=NYTBS-20,1,10.79,3.5,,0
A forensic sculptor hunts down lost treasure as well as the people who have snatched her young charge.,"['iris', 'johansen', 'cara', 'jane', 'joe', 'suspense', 'caleb', 'jock', 'trilogy', 'edge', 'novels', 'treasure', 'bonnie', 'action', 'usual', 'page', 'michael', 'kept', 'seat', 'baby']",NIGHT AND DAY,519,"['Hardcover', '$15.35', '140', 'Used', 'from', '$0.10', '65', 'New', 'from', '$7.89', '4', 'Collectible', 'from', '$7.89', 'Paperback', '$10.19', '41', 'Used', 'from', '$9.99', '31', 'New', 'from', '$10.19', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-07,4.6 out of 5 s,http://www.amazon.com/Night-Day-Eve-Duncan-Novel-ebook/dp/B01AGGSQ1C?tag=NYTBS-20,5,15.35,4.6,neg,-0.0277777778
Three couples at a backyard barbecue gone wrong.,"['moriarty', 'liane', 'happened', 'slow', 'barbecue', 'kept', 'event', 'lies', 'secret', 'boring', 'bbq', 'page', 'suspense', 'finish', 'pages', 'ending', 'lives', 'relationships', 'twists', 'chapters']",TRULY MADLY GUILTY,3942,"['Hardcover', '$14.38', '372', 'Used', 'from', '$0.99', '75', 'New', 'from', '$4.94', '22', 'Collectible', 'from', '$3.99', 'Paperback', '$9.43', '209', 'Used', 'from', '$1.41', '81', 'New', 'from', '$4.16', '1', 'Collectible', 'from', '$30.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-02,3.6 out of 5,http://www.amazon.com/Truly-Madly-Guilty-Liane-Moriarty-ebook/dp/B015MR0UJG?tag=NYTBS-20,9,14.38,3.6,neg,-0.5
"Josie, a former dentist, is on the run from a bad relationship and on the lam in the Alaskan wilderness with her children.","['eggers', 'alaska', 'josie', 'dave', 'mother', 'woman', 'main', 'ana', 'trip', 'paul', 'sense', 'adventure', 'protagonist', 'disappointing', 'young', 'dentist', 'writer', 'humor', 'alaskan', 'kept']",HEROES OF THE FRONTIER,216,"['Hardcover', '$8.95', '131', 'Used', 'from', '$1.99', '67', 'New', 'from', '$4.96', '14', 'Collectible', 'from', '$13.49', 'Paperback', '$11.52', '92', 'Used', 'from', '$1.38', '66', 'New', 'from', '$4.95', '1', 'Collectible', 'from', '$24.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-14,3.1 out of 5 s,http://www.amazon.com/Heroes-Frontier-Dave-Eggers/dp/045149380X?tag=NYTBS-20,1,8.95,3.1,neg,-0.35
An unlikely suicide takes Alexandra Cooper to the ugly side of New York's fashion world.,"['fairstein', 'alex', 'linda', 'fashion', 'mike', 'york', 'ending', 'industry', 'chapman', 'city', 'garment', 'district', 'novels', 'mystery', 'murder', 'usual', 'relationship', 'mercer', 'previous', 'coop']",KILLER LOOK,274,"['Hardcover', '$9.97', '89', 'Used', 'from', '$1.99', '29', 'New', 'from', '$4.98', '3', 'Collectible', 'from', '$9.19', 'Paperback', '$8.63', '97', 'Used', 'from', '$1.25', '37', 'New', 'from', '$7.02', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-14,4.2 out of 5 s,http://www.amazon.com/Killer-Look-Alexandra-Cooper-Novel/dp/1101984015?tag=NYTBS-20,1,9.97,4.2,neg,-0.3545454545
The hero of this countdown thriller exists in several alternate universes and must accomplish an impossible task.,"['crouch', 'science', 'blake', 'sci-fi', 'fiction', 'jason', 'thriller', 'physics', 'page', 'quantum', 'ending', 'choices', 'multiverse', 'concept', 'twists', 'pines', 'kept', 'idea', 'premise', 'ride']",DARK MATTER,3420,"['Hardcover', '$14.84', '145', 'Used', 'from', '$1.75', '87', 'New', 'from', '$5.59', '10', 'Collectible', 'from', '$7.50', 'Paperback', '$7.48', '66', 'Used', 'from', '$3.34', '57', 'New', 'from', '$7.01', '1', 'Collectible', 'from', '$10.83', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-14,4.4 out of 5,http://www.amazon.com/Dark-Matter-Novel-Blake-Crouch-ebook/dp/B0180T0IUY?tag=NYTBS-20,1,14.84,4.4,neg,-0.2222222222
The apparent suicide of a Kentucky patriarch is looking more and more like murder. Second book in the Bourbon Kings series.,"['ward', 'edward', 'lane', 'gin', 'bradford', 'drama', 'lizzie', 'romance', 'sutton', 'installment', 'father', 'saga', 'ending', 'twists', 'turns', 'mystery', 'page', 'angel', 'secrets', 'death']",THE ANGELS' SHARE,497,"['Hardcover', '$13.94', '57', 'Used', 'from', '$1.16', '17', 'New', 'from', '$8.70', 'Paperback', '$14.79', '5', 'Used', 'from', '$11.98', '16', 'New', 'from', '$10.38', '1', 'Collectible', 'from', '$12.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-14,4.6 out of 5 s,http://www.amazon.com/Angels-Share-Bourbon-Kings/dp/0451475283?tag=NYTBS-20,1,13.94,4.6,pos,0.2625
"While the president of the United States is in New York to meet with his Russian counterpart, Detective Michael Bennett must stop a team of assassins.","['patterson', 'james', 'president', 'action', 'twists', 'page', 'mike', 'turns', 'detective', 'mary', 'suspense', 'catherine', 'kept', 'ending', 'ledwidge', 'usual', 'exciting', 'paced', 'boring', 'turner']",BULLSEYE,862,"['Hardcover', '$12.49', '214', 'Used', 'from', '$1.01', '71', 'New', 'from', '$2.60', '15', 'Collectible', 'from', '$4.95', 'Paperback', '$12.20', '211', 'Used', 'from', '$1.06', '52', 'New', 'from', '$5.94', '1', 'Collectible', 'from', '$12.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-08-21,4.3 out of 5 s,http://www.amazon.com/Bullseye-Michael-Bennett-James-Patterson/dp/0316407089?tag=NYTBS-20,5,12.49,4.3,pos,0.0681818182
